hour,day_of_week,is_weekend,is_raining,has_event,district,base_occupancy,is_available
14,2,0,0,0,Üsküdar,0.65,0
23,4,0,0,0,Şişli,0.75,0
1,3,0,0,0,Bakırköy,0.7,0
16,2,0,0,1,Beşiktaş,0.85,0
11,6,1,0,0,Şişli,0.75,0
6,1,0,0,0,Beşiktaş,0.85,1
20,1,0,0,0,Beşiktaş,0.85,0
3,1,0,0,0,Beşiktaş,0.85,1
3,5,1,1,0,Kadıköy,0.8,0
13,6,1,0,0,Üsküdar,0.65,0
7,4,0,0,0,Üsküdar,0.65,0
12,0,0,0,0,Üsküdar,0.65,0
6,0,0,0,0,Beşiktaş,0.85,1
9,6,1,0,0,Bakırköy,0.7,0
7,3,0,0,1,Beşiktaş,0.85,0
2,0,0,0,0,Şişli,0.75,1
0,4,0,0,0,Şişli,0.75,1
9,3,0,1,0,Kadıköy,0.8,0
19,4,0,0,0,Beşiktaş,0.85,0
12,6,1,0,0,Üsküdar,0.65,0
9,4,0,0,0,Kadıköy,0.8,0
10,1,0,1,0,Üsküdar,0.65,0
0,0,0,0,1,Beşiktaş,0.85,0
8,5,1,0,0,Şişli,0.75,0
23,6,1,1,0,Üsküdar,0.65,0
19,3,0,0,0,Beşiktaş,0.85,0
23,0,0,0,0,Beşiktaş,0.85,0
18,5,1,1,0,Beşiktaş,0.85,0
22,2,0,0,0,Üsküdar,0.65,0
5,5,1,0,0,Kadıköy,0.8,0
8,3,0,0,0,Beşiktaş,0.85,0
2,6,1,0,0,Kadıköy,0.8,1
8,0,0,0,0,Üsküdar,0.65,0
17,6,1,0,0,Beşiktaş,0.85,0
15,0,0,0,0,Kadıköy,0.8,1
8,2,0,0,0,Beşiktaş,0.85,0
23,3,0,1,0,Beşiktaş,0.85,0
2,0,0,1,0,Beşiktaş,0.85,0
15,4,0,0,0,Şişli,0.75,0
23,6,1,0,0,Üsküdar,0.65,0
18,5,1,0,0,Üsküdar,0.65,0
20,5,1,0,0,Kadıköy,0.8,0
4,3,0,0,0,Beşiktaş,0.85,0
13,4,0,0,0,Üsküdar,0.65,1
23,4,0,0,0,Bakırköy,0.7,0
2,1,0,0,0,Beşiktaş,0.85,1
14,5,1,0,0,Kadıköy,0.8,0
8,2,0,0,0,Beşiktaş,0.85,0
2,1,0,0,0,Kadıköy,0.8,1
19,0,0,1,0,Bakırköy,0.7,0
18,6,1,1,0,Üsküdar,0.65,0
21,1,0,0,0,Şişli,0.75,0
5,6,1,0,0,Kadıköy,0.8,1
11,4,0,0,0,Üsküdar,0.65,1
14,2,0,0,0,Üsküdar,0.65,1
22,1,0,1,0,Şişli,0.75,1
11,4,0,1,0,Beşiktaş,0.85,0
7,4,0,0,0,Beşiktaş,0.85,0
21,4,0,0,0,Bakırköy,0.7,1
13,3,0,1,1,Beşiktaş,0.85,0
4,3,0,1,0,Üsküdar,0.65,0
22,1,0,0,0,Bakırköy,0.7,0
19,6,1,1,0,Kadıköy,0.8,0
3,6,1,0,0,Bakırköy,0.7,1
19,3,0,0,0,Şişli,0.75,0
11,2,0,0,0,Bakırköy,0.7,0
11,4,0,1,0,Şişli,0.75,0
9,1,0,0,0,Bakırköy,0.7,0
20,1,0,0,0,Üsküdar,0.65,0
3,1,0,0,0,Beşiktaş,0.85,1
15,3,0,0,0,Şişli,0.75,1
11,0,0,0,0,Bakırköy,0.7,0
8,5,1,0,0,Şişli,0.75,0
18,0,0,1,0,Şişli,0.75,0
11,0,0,0,0,Şişli,0.75,0
11,0,0,0,0,Şişli,0.75,0
22,0,0,1,0,Bakırköy,0.7,0
8,1,0,0,0,Üsküdar,0.65,1
7,1,0,0,0,Bakırköy,0.7,0
0,5,1,0,0,Bakırköy,0.7,1
12,3,0,0,0,Beşiktaş,0.85,0
18,6,1,0,0,Kadıköy,0.8,0
19,3,0,0,0,Kadıköy,0.8,0
16,0,0,0,0,Üsküdar,0.65,0
11,4,0,0,0,Kadıköy,0.8,0
18,3,0,1,0,Şişli,0.75,0
13,6,1,0,0,Beşiktaş,0.85,0
9,5,1,0,0,Üsküdar,0.65,0
3,1,0,0,0,Kadıköy,0.8,0
21,6,1,0,0,Üsküdar,0.65,0
12,3,0,0,0,Üsküdar,0.65,0
